2014-11-17 22:33:37,815 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:33:37,874 | INFO  | Listening for connections at: amqp://rami-Compaq-621:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:33:37,883 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:33:37,894 | INFO  | Listening for connections at: stomp://rami-Compaq-621:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:33:37,895 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:33:37,923 | INFO  | Listening for connections at: mqtt://rami-Compaq-621:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:33:37,924 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:33:38,420 | INFO  | Listening for connections at ws://rami-Compaq-621:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2014-11-17 22:33:38,420 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:33:38,421 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-53044-1416281617096-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:38,421 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:38,422 | WARN  | Store limit is 102400 mb (current store usage is 17 mb). The data directory: /home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/kahadb only has 32667 mb of usable space - resetting to maximum available disk space: 32684 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:38,422 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/localhost/tmp_storage only has 32667 mb of usable space - resetting to maximum available 32667 mb. | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:39,902 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2014-11-17 22:33:40,038 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2014-11-17 22:33:40,544 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2014-11-17 22:34:37,715 | WARN  | Transport Connection to: tcp://127.0.0.1:36687 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36687@61616
2014-11-17 22:34:37,720 | WARN  | Transport Connection to: tcp://127.0.0.1:37104 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:37104@61616
2014-11-17 22:34:37,720 | WARN  | Transport Connection to: tcp://127.0.0.1:36639 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36639@61616
2014-11-17 22:34:37,720 | WARN  | Transport Connection to: tcp://127.0.0.1:36641 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36641@61616
